Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName	DriftTime
0	362	0.0498	1	78	19	116.52	0	7	7	HMS	17.7508
0	363	0.0498	1	30	11	2058.6	0	4	4	HMS	17.8611
0	365	0.0498	1	15	9	110.07	0	2	2	HMS	18.0816
0	366	0.0498	1	42	11	125.91	0	6	6	HMS	18.1918
0	367	0.0498	1	44	20	175.15	0	4	4	HMS	18.3021
0	368	0.0498	1	29	9	2254.6	0	4	4	HMS	18.4123
0	369	0.0498	1	44	9	143.41	0	6	6	HMS	18.5226
0	371	0.0498	1	45	15	156.61	0	6	6	HMS	18.7431
0	372	0.0498	1	50	14	3774.1	0	6	6	HMS	18.8534
0	373	0.0498	1	14	7	184.77	0	2	2	HMS	18.9636
0	375	0.0498	1	15	9	207.6	0	2	2	HMS	19.1841
0	376	0.0498	1	54	18	214.78	0	6	6	HMS	19.2944
0	378	0.0498	1	13	9	2341.7	0	2	2	HMS	19.5149
0	382	0.0498	1	13	9	306.47	0	2	2	HMS	19.9559
0	384	0.0498	1	54	15	223.55	0	4	4	HMS	20.1764
0	385	0.0498	1	30	8	246.08	0	4	4	HMS	20.2867
0	386	0.0498	1	73	18	219.83	0	6	6	HMS	20.3969
0	389	0.0498	1	41	11	250.13	0	6	6	HMS	20.7277
0	390	0.0498	1	20	12	197.92	0	2	2	HMS	20.8379
0	394	0.0498	1	17	15	271.94	0	2	2	HMS	21.2789
0	399	0.0498	1	23	12	266.74	0	2	2	HMS	21.8302
0	400	0.0498	1	33	13	4779.5	0	4	4	HMS	21.9405
0	401	0.0667	1	18	9	421.61	0	2	2	HMS	0.0
0	408	0.0667	1	15	15	391.38	0	1	1	HMS	0.7718
0	411	0.0667	1	29	11	241.19	0	4	4	HMS	1.1025
0	412	0.0667	1	31	9	105.09	0	4	4	HMS	1.2128
0	413	0.0667	1	145	25	128.97	0	9	9	HMS	1.323
0	414	0.0667	1	1456	697	128.97	0	11	11	HMS	1.4333
0	415	0.0667	1	1343	496	128.97	0	26	26	HMS	1.5436
0	416	0.0667	1	843	82	135.02	0	55	55	HMS	1.6538
0	417	0.0667	1	2175	556	135.02	0	69	69	HMS	1.7641
0	418	0.0667	1	3016	619	171.11	0	101	101	HMS	1.8743
0	419	0.0667	1	12173	4773	164.93	0	152	152	HMS	1.9846
0	420	0.0667	1	11152	3598	164.93	0	197	197	HMS	2.0948
0	421	0.0667	1	5589	305	217.11	0	261	261	HMS	2.2051
0	422	0.0667	1	7540	770	213.12	0	342	342	HMS	2.3153
0	423	0.0667	1	10243	571	229.15	0	417	417	HMS	2.4256
0	424	0.0667	1	9871	498	229.15	0	539	539	HMS	2.5358
0	425	0.0667	1	10579	194	276.94	0	704	704	HMS	2.6461
0	426	0.0667	1	19379	1334	245.08	0	871	871	HMS	2.7563
0	427	0.0667	1	34714	5119	239.16	0	1189	1189	HMS	2.8666
0	428	0.0667	1	38201	6012	239.17	0	1442	1442	HMS	2.9768
0	429	0.0667	1	43561	1253	306.86	0	2094	2094	HMS	3.0871
0	430	0.0667	1	55371	1842	586.83	0	2681	2681	HMS	3.1974
0	431	0.0667	1	72292	1219	606.37	0	3579	3579	HMS	3.3076
0	432	0.0667	1	87182	888	643.85	0	4341	4341	HMS	3.4179
0	433	0.0667	1	105834	1248	309.2	0	5258	5258	HMS	3.5281
0	434	0.0667	1	119392	1122	309.2	0	5709	5709	HMS	3.6384
0	435	0.0667	1	135662	2008	694.82	0	6196	6196	HMS	3.7486
0	436	0.0667	1	142800	1652	754.8	0	6464	6464	HMS	3.8589
0	437	0.0667	1	144546	2427	393.08	0	6438	6438	HMS	3.9691
0	438	0.0667	1	143931	1022	393.08	0	6891	6891	HMS	4.0794
0	439	0.0667	1	135231	721	851.81	0	6843	6843	HMS	4.1896
0	440	0.0667	1	130718	854	862.79	0	6940	6940	HMS	4.2999
0	441	0.0667	1	125458	368	862.79	0	6976	6976	HMS	4.4101
0	442	0.0667	1	121036	522	922.76	0	6891	6891	HMS	4.5204
0	443	0.0667	1	116684	1686	467.1	0	6558	6558	HMS	4.6307
0	444	0.0667	1	115538	2733	467.1	0	6324	6324	HMS	4.7409
0	445	0.0667	1	106699	1578	467.1	0	6344	6344	HMS	4.8512
0	446	0.0667	1	93479	588	957.3	0	6002	6002	HMS	4.9614
0	447	0.0667	1	85404	212	1019.8	0	5822	5822	HMS	5.0717
0	448	0.0667	1	80464	681	922.92	0	5450	5450	HMS	5.1819
0	449	0.0667	1	77789	583	541.12	0	5364	5364	HMS	5.2922
0	450	0.0667	1	73044	986	541.12	0	4960	4960	HMS	5.4024
0	451	0.0667	1	69643	505	541.12	0	4817	4817	HMS	5.5127
