Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	2702							FTMS + p NSI Full ms [400.00-2000.00]
0	2713							FTMS + p NSI Full ms [400.00-2000.00]
0	2724							FTMS + p NSI Full ms [400.00-2000.00]
0	2735							FTMS + p NSI Full ms [400.00-2000.00]
0	2746							FTMS + p NSI Full ms [400.00-2000.00]
0	2757							FTMS + p NSI Full ms [400.00-2000.00]
0	2768							FTMS + p NSI Full ms [400.00-2000.00]
0	2779							FTMS + p NSI Full ms [400.00-2000.00]
0	2790							FTMS + p NSI Full ms [400.00-2000.00]
0	2801							FTMS + p NSI Full ms [400.00-2000.00]
0	2812							FTMS + p NSI Full ms [400.00-2000.00]
0	2823							FTMS + p NSI Full ms [400.00-2000.00]
0	2834							FTMS + p NSI Full ms [400.00-2000.00]
0	2845							FTMS + p NSI Full ms [400.00-2000.00]
0	2856							FTMS + p NSI Full ms [400.00-2000.00]
0	2867							FTMS + p NSI Full ms [400.00-2000.00]
0	2878							FTMS + p NSI Full ms [400.00-2000.00]
0	2889							FTMS + p NSI Full ms [400.00-2000.00]
0	2900							FTMS + p NSI Full ms [400.00-2000.00]
0	2911							FTMS + p NSI Full ms [400.00-2000.00]
0	2922							FTMS + p NSI Full ms [400.00-2000.00]
0	2933							FTMS + p NSI Full ms [400.00-2000.00]
0	2944							FTMS + p NSI Full ms [400.00-2000.00]
0	2955							FTMS + p NSI Full ms [400.00-2000.00]
0	2966							FTMS + p NSI Full ms [400.00-2000.00]
0	2977							FTMS + p NSI Full ms [400.00-2000.00]
0	2988							FTMS + p NSI Full ms [400.00-2000.00]
0	2999							FTMS + p NSI Full ms [400.00-2000.00]
0	3010							FTMS + p NSI Full ms [400.00-2000.00]
0	3021							FTMS + p NSI Full ms [400.00-2000.00]
0	3032							FTMS + p NSI Full ms [400.00-2000.00]
0	3043							FTMS + p NSI Full ms [400.00-2000.00]
0	3054							FTMS + p NSI Full ms [400.00-2000.00]
0	3065							FTMS + p NSI Full ms [400.00-2000.00]
0	3076							FTMS + p NSI Full ms [400.00-2000.00]
0	3087							FTMS + p NSI Full ms [400.00-2000.00]
0	3098							FTMS + p NSI Full ms [400.00-2000.00]
0	3109							FTMS + p NSI Full ms [400.00-2000.00]
0	3120							FTMS + p NSI Full ms [400.00-2000.00]
0	3131							FTMS + p NSI Full ms [400.00-2000.00]
0	3142							FTMS + p NSI Full ms [400.00-2000.00]
0	3153							FTMS + p NSI Full ms [400.00-2000.00]
0	3164							FTMS + p NSI Full ms [400.00-2000.00]
0	3175							FTMS + p NSI Full ms [400.00-2000.00]
0	3186							FTMS + p NSI Full ms [400.00-2000.00]
0	3197							FTMS + p NSI Full ms [400.00-2000.00]
0	3208							FTMS + p NSI Full ms [400.00-2000.00]
0	3219							FTMS + p NSI Full ms [400.00-2000.00]
0	3230							FTMS + p NSI Full ms [400.00-2000.00]
0	3241							FTMS + p NSI Full ms [400.00-2000.00]
0	3252							FTMS + p NSI Full ms [400.00-2000.00]
0	3263							FTMS + p NSI Full ms [400.00-2000.00]
0	3274							FTMS + p NSI Full ms [400.00-2000.00]
0	3285							FTMS + p NSI Full ms [400.00-2000.00]
0	3296							FTMS + p NSI Full ms [400.00-2000.00]
0	3307							FTMS + p NSI Full ms [400.00-2000.00]
0	3318							FTMS + p NSI Full ms [400.00-2000.00]
0	3329							FTMS + p NSI Full ms [400.00-2000.00]
0	3340							FTMS + p NSI Full ms [400.00-2000.00]
0	3351							FTMS + p NSI Full ms [400.00-2000.00]
0	3362							FTMS + p NSI Full ms [400.00-2000.00]
0	3373							FTMS + p NSI Full ms [400.00-2000.00]
0	3384							FTMS + p NSI Full ms [400.00-2000.00]
0	3395							FTMS + p NSI Full ms [400.00-2000.00]
0	3406							FTMS + p NSI Full ms [400.00-2000.00]
0	3417							FTMS + p NSI Full ms [400.00-2000.00]
0	3428							FTMS + p NSI Full ms [400.00-2000.00]
0	3439							FTMS + p NSI Full ms [400.00-2000.00]
0	3450							FTMS + p NSI Full ms [400.00-2000.00]
0	3461							FTMS + p NSI Full ms [400.00-2000.00]
0	3472							FTMS + p NSI Full ms [400.00-2000.00]
0	3483							FTMS + p NSI Full ms [400.00-2000.00]
0	3494							FTMS + p NSI Full ms [400.00-2000.00]
0	3505							FTMS + p NSI Full ms [400.00-2000.00]
0	3516							FTMS + p NSI Full ms [400.00-2000.00]
0	3527							FTMS + p NSI Full ms [400.00-2000.00]
0	3538							FTMS + p NSI Full ms [400.00-2000.00]
0	3549							FTMS + p NSI Full ms [400.00-2000.00]
0	3560							FTMS + p NSI Full ms [400.00-2000.00]
0	3571							FTMS + p NSI Full ms [400.00-2000.00]
0	3582							FTMS + p NSI Full ms [400.00-2000.00]
0	3593							FTMS + p NSI Full ms [400.00-2000.00]
0	3604							FTMS + p NSI Full ms [400.00-2000.00]
0	3615							FTMS + p NSI Full ms [400.00-2000.00]
0	3626							FTMS + p NSI Full ms [400.00-2000.00]
0	3637							FTMS + p NSI Full ms [400.00-2000.00]
0	3648							FTMS + p NSI Full ms [400.00-2000.00]
0	3659							FTMS + p NSI Full ms [400.00-2000.00]
0	3670							FTMS + p NSI Full ms [400.00-2000.00]
0	3681							FTMS + p NSI Full ms [400.00-2000.00]
0	3692							FTMS + p NSI Full ms [400.00-2000.00]
0	3703							FTMS + p NSI Full ms [400.00-2000.00]
0	3714							FTMS + p NSI Full ms [400.00-2000.00]
0	3725							FTMS + p NSI Full ms [400.00-2000.00]
0	3736							FTMS + p NSI Full ms [400.00-2000.00]
0	3747							FTMS + p NSI Full ms [400.00-2000.00]
0	3758							FTMS + p NSI Full ms [400.00-2000.00]
0	3769							FTMS + p NSI Full ms [400.00-2000.00]
0	3780							FTMS + p NSI Full ms [400.00-2000.00]
0	3791							FTMS + p NSI Full ms [400.00-2000.00]
0	3802							FTMS + p NSI Full ms [400.00-2000.00]
0	3813							FTMS + p NSI Full ms [400.00-2000.00]
0	3824							FTMS + p NSI Full ms [400.00-2000.00]
0	3835							FTMS + p NSI Full ms [400.00-2000.00]
0	3846							FTMS + p NSI Full ms [400.00-2000.00]
0	3857							FTMS + p NSI Full ms [400.00-2000.00]
0	3868							FTMS + p NSI Full ms [400.00-2000.00]
0	3879							FTMS + p NSI Full ms [400.00-2000.00]
0	3890							FTMS + p NSI Full ms [400.00-2000.00]
0	3901							FTMS + p NSI Full ms [400.00-2000.00]
0	3912							FTMS + p NSI Full ms [400.00-2000.00]
0	3923							FTMS + p NSI Full ms [400.00-2000.00]
0	3934							FTMS + p NSI Full ms [400.00-2000.00]
0	3945							FTMS + p NSI Full ms [400.00-2000.00]
0	3956							FTMS + p NSI Full ms [400.00-2000.00]
0	3967							FTMS + p NSI Full ms [400.00-2000.00]
0	3978							FTMS + p NSI Full ms [400.00-2000.00]
0	3989							FTMS + p NSI Full ms [400.00-2000.00]
0	4000							FTMS + p NSI Full ms [400.00-2000.00]
0	4011							FTMS + p NSI Full ms [400.00-2000.00]
0	4022							FTMS + p NSI Full ms [400.00-2000.00]
0	4033							FTMS + p NSI Full ms [400.00-2000.00]
0	4044							FTMS + p NSI Full ms [400.00-2000.00]
0	4055							FTMS + p NSI Full ms [400.00-2000.00]
0	4066							FTMS + p NSI Full ms [400.00-2000.00]
0	4077							FTMS + p NSI Full ms [400.00-2000.00]
0	4088							FTMS + p NSI Full ms [400.00-2000.00]
0	4099							FTMS + p NSI Full ms [400.00-2000.00]
0	4110							FTMS + p NSI Full ms [400.00-2000.00]
0	4121							FTMS + p NSI Full ms [400.00-2000.00]
0	4132							FTMS + p NSI Full ms [400.00-2000.00]
0	4143							FTMS + p NSI Full ms [400.00-2000.00]
0	4154							FTMS + p NSI Full ms [400.00-2000.00]
0	4165							FTMS + p NSI Full ms [400.00-2000.00]
0	4176							FTMS + p NSI Full ms [400.00-2000.00]
0	4187							FTMS + p NSI Full ms [400.00-2000.00]
0	4198							FTMS + p NSI Full ms [400.00-2000.00]
0	4209							FTMS + p NSI Full ms [400.00-2000.00]
0	4220							FTMS + p NSI Full ms [400.00-2000.00]
0	4231							FTMS + p NSI Full ms [400.00-2000.00]
0	4242							FTMS + p NSI Full ms [400.00-2000.00]
0	4253							FTMS + p NSI Full ms [400.00-2000.00]
0	4264							FTMS + p NSI Full ms [400.00-2000.00]
0	4275							FTMS + p NSI Full ms [400.00-2000.00]
0	4286							FTMS + p NSI Full ms [400.00-2000.00]
0	4297							FTMS + p NSI Full ms [400.00-2000.00]
0	4308							FTMS + p NSI Full ms [400.00-2000.00]
0	4319							FTMS + p NSI Full ms [400.00-2000.00]
0	4330							FTMS + p NSI Full ms [400.00-2000.00]
0	4341							FTMS + p NSI Full ms [400.00-2000.00]
0	4352							FTMS + p NSI Full ms [400.00-2000.00]
0	4363							FTMS + p NSI Full ms [400.00-2000.00]
0	4374							FTMS + p NSI Full ms [400.00-2000.00]
0	4385							FTMS + p NSI Full ms [400.00-2000.00]
0	4396							FTMS + p NSI Full ms [400.00-2000.00]
0	4407							FTMS + p NSI Full ms [400.00-2000.00]
0	4418							FTMS + p NSI Full ms [400.00-2000.00]
0	4429							FTMS + p NSI Full ms [400.00-2000.00]
0	4440							FTMS + p NSI Full ms [400.00-2000.00]
0	4451							FTMS + p NSI Full ms [400.00-2000.00]
0	4462							FTMS + p NSI Full ms [400.00-2000.00]
0	4473							FTMS + p NSI Full ms [400.00-2000.00]
0	4484							FTMS + p NSI Full ms [400.00-2000.00]
0	4495							FTMS + p NSI Full ms [400.00-2000.00]
0	4506							FTMS + p NSI Full ms [400.00-2000.00]
0	4517							FTMS + p NSI Full ms [400.00-2000.00]
0	4528							FTMS + p NSI Full ms [400.00-2000.00]
0	4539							FTMS + p NSI Full ms [400.00-2000.00]
0	4550							FTMS + p NSI Full ms [400.00-2000.00]
0	4561							FTMS + p NSI Full ms [400.00-2000.00]
0	4572							FTMS + p NSI Full ms [400.00-2000.00]
0	4583							FTMS + p NSI Full ms [400.00-2000.00]
0	4594							FTMS + p NSI Full ms [400.00-2000.00]
0	4605							FTMS + p NSI Full ms [400.00-2000.00]
0	4616							FTMS + p NSI Full ms [400.00-2000.00]
0	4627							FTMS + p NSI Full ms [400.00-2000.00]
0	4638							FTMS + p NSI Full ms [400.00-2000.00]
0	4649							FTMS + p NSI Full ms [400.00-2000.00]
